
=== Spec A ===  one-layer a1=0.571533
  n=6 L= 9 sigma=-1  infeasible  [11 start-types, 11 starts, 13.09s]
  n=6 L=10 sigma=+1  infeasible  [11 start-types, 11 starts, 35.95s]
  n=6 L=10 sigma=-1  delta=1.375385e-04  [11 start-types, 11 starts, 25.33s]
  n=6 L=11 sigma=+1  infeasible  [11 start-types, 11 starts, 19.97s]
  n=6 L=11 sigma=-1  infeasible  [11 start-types, 11 starts, 15.81s]
  n=6 L=12 sigma=+1  infeasible  [11 start-types, 11 starts, 52.98s]
  n=6 L=12 sigma=-1  infeasible  [11 start-types, 11 starts, 36.91s]
  checkpointed through n=6 -> ../data/e2_results.json

=== Spec B ===  one-layer a1=0.652492
  n=1 L= 2 sigma=+1  infeasible  [12 start-types, 12 starts, 6.75s]
  n=1 L= 2 sigma=-1  delta=4.273373e-01  [12 start-types, 12 starts, 1.27s]
  n=1 L= 3 sigma=+1  infeasible  [12 start-types, 12 starts, 2.61s]
  n=1 L= 3 sigma=-1  infeasible  [12 start-types, 12 starts, 3.42s]
  n=1 L= 4 sigma=+1  infeasible  [12 start-types, 12 starts, 3.49s]
  n=1 L= 4 sigma=-1  infeasible  [12 start-types, 12 starts, 5.18s]
  n=1 L= 5 sigma=+1  infeasible  [12 start-types, 12 starts, 3.22s]
  n=1 L= 5 sigma=-1  infeasible  [12 start-types, 12 starts, 3.13s]
  n=1 L= 6 sigma=+1  infeasible  [12 start-types, 12 starts, 3.81s]
  n=1 L= 6 sigma=-1  infeasible  [12 start-types, 12 starts, 3.20s]
  n=1 L= 7 sigma=+1  infeasible  [12 start-types, 12 starts, 3.39s]
  n=1 L= 7 sigma=-1  infeasible  [12 start-types, 12 starts, 3.39s]
  n=1 L= 8 sigma=+1  infeasible  [12 start-types, 12 starts, 3.49s]
  n=1 L= 8 sigma=-1  infeasible  [12 start-types, 12 starts, 4.72s]
  n=1 L= 9 sigma=+1  infeasible  [12 start-types, 12 starts, 3.90s]
  n=1 L= 9 sigma=-1  infeasible  [12 start-types, 12 starts, 3.32s]
  n=1 L=10 sigma=+1  infeasible  [12 start-types, 12 starts, 4.68s]
  n=1 L=10 sigma=-1  infeasible  [12 start-types, 12 starts, 2.99s]
  n=1 L=11 sigma=+1  infeasible  [12 start-types, 12 starts, 4.21s]
  n=1 L=11 sigma=-1  infeasible  [12 start-types, 12 starts, 4.02s]
  n=1 L=12 sigma=+1  infeasible  [12 start-types, 12 starts, 3.62s]
  n=1 L=12 sigma=-1  infeasible  [12 start-types, 12 starts, 4.38s]
  checkpointed through n=1 -> ../data/e2_results.json
  n=2 L= 3 sigma=+1  infeasible  [11 start-types, 11 starts, 4.33s]
